Timestamp,CH1_Vpp,CH1_Vavg,CH1_Vrms,CH2_Vpp,CH2_Vavg,CH2_Vrms,CH3_Vpp,CH3_Vavg,CH3_Vrms,CH4_Vpp,CH4_Vavg,CH4_Vrms
2025-07-14T19:37:12.383897,39.9627,0.2091,11.8681,1.0607,0.0269,0.1193,1.5436,0.0020,0.1219,1.1594,0.0148,0.1222
2025-07-14T19:37:14.949782,33.1398,0.2710,11.8955,1.1571,0.0225,0.1213,1.4471,0.0017,0.1214,1.2077,0.0194,0.1220
2025-07-14T19:37:16.661877,37.0386,0.3294,11.8945,1.2053,0.0224,0.1192,1.4953,0.0011,0.1235,1.0628,0.0215,0.1215
2025-07-14T19:37:18.965100,32.1651,0.2505,11.8574,1.2053,0.0195,0.1197,1.5436,0.0031,0.1231,1.1111,0.0216,0.1240
2025-07-14T19:37:20.664738,33.6272,-0.5015,11.8853,1.1089,0.0239,0.1186,1.4953,0.0012,0.1220,1.0628,0.0257,0.1222
2025-07-14T19:37:22.384005,39.4754,0.2758,11.8646,1.1571,0.0274,0.1213,1.4953,0.0007,0.1237,1.1111,0.0165,0.1210
2025-07-14T19:37:24.575571,33.6272,0.2232,11.8744,1.1571,0.0199,0.1207,1.4953,0.0015,0.1210,1.0628,0.0175,0.1197
2025-07-14T19:37:26.384261,38.0133,0.2739,11.8888,1.0607,0.0231,0.1173,1.4953,0.0014,0.1236,1.0628,0.0140,0.1198
2025-07-14T19:37:28.727320,32.6525,0.3558,11.8912,1.1089,0.0324,0.1228,1.5436,0.0065,0.1219,1.1111,0.0160,0.1206
2025-07-14T19:37:30.598240,33.6272,0.4045,11.9049,1.1089,0.0310,0.1202,1.4953,0.0033,0.1233,1.0628,0.0143,0.1197
2025-07-14T19:37:32.384264,32.6525,0.2500,11.8897,1.0607,0.0262,0.1211,1.5436,0.0059,0.1237,1.1594,0.0196,0.1216
2025-07-14T19:37:34.550726,33.1398,0.2924,11.8822,1.1571,0.0245,0.1207,1.4471,0.0081,0.1246,1.1111,0.0220,0.1222
2025-07-14T19:37:36.384044,38.9880,0.3606,11.8567,1.1089,0.0219,0.1200,1.5436,0.0027,0.1239,1.1111,0.0164,0.1201
2025-07-14T19:37:38.780853,34.6018,0.3343,11.8747,1.2535,0.0297,0.1227,1.5436,0.0081,0.1242,1.0628,0.0203,0.1216
2025-07-14T19:37:40.428082,36.5513,0.3426,11.8751,1.1571,0.0226,0.1197,1.5436,0.0045,0.1239,1.0145,0.0170,0.1201
2025-07-14T19:37:42.729489,33.1398,0.3494,11.8634,1.1089,0.0270,0.1217,1.5436,0.0041,0.1211,1.1111,0.0146,0.1195
2025-07-14T19:37:44.454218,32.6525,0.3811,11.8886,1.1571,0.0308,0.1206,1.4471,0.0033,0.1217,1.1111,0.0169,0.1205
2025-07-14T19:37:46.384205,32.6525,0.2866,11.8780,1.1571,0.0277,0.1217,1.4953,0.0039,0.1219,1.0628,0.0161,0.1196
2025-07-14T19:37:48.521919,35.0892,0.2208,11.8682,1.2535,0.0278,0.1228,1.4471,0.0046,0.1229,1.0628,0.0210,0.1216
2025-07-14T19:37:50.413662,40.9374,0.2705,11.8826,1.1571,0.0244,0.1217,1.4953,0.0011,0.1218,1.0145,0.0165,0.1215
2025-07-14T19:37:52.873501,32.6525,0.2018,11.8158,1.1571,0.0332,0.1221,1.4953,0.0031,0.1217,1.0628,0.0169,0.1193
2025-07-14T19:37:54.655182,37.5260,0.2978,11.8761,1.1089,0.0274,0.1196,1.4471,0.0054,0.1248,0.9662,0.0149,0.1172
2025-07-14T19:37:56.802292,32.1651,0.2408,11.8135,1.2053,0.0321,0.1226,1.4953,0.0073,0.1223,1.1111,0.0204,0.1229
2025-07-14T19:37:58.645195,32.6525,0.2178,11.8702,1.1571,0.0310,0.1226,1.4953,0.0041,0.1243,1.0628,0.0179,0.1203
2025-07-14T19:38:00.384254,32.6525,0.1218,11.8342,1.1571,0.0262,0.1207,1.4953,-0.0021,0.1232,1.1111,0.0139,0.1199
2025-07-14T19:38:02.672313,34.1145,0.2797,11.8533,1.2053,0.0206,0.1227,1.5436,0.0022,0.1211,1.0628,0.0148,0.1191
2025-07-14T19:38:04.384021,40.9374,0.3548,11.8454,1.1571,0.0256,0.1208,1.5436,0.0027,0.1230,1.0628,0.0181,0.1204
2025-07-14T19:38:06.539230,33.1398,0.2627,11.8649,1.2053,0.0246,0.1208,1.5436,0.0026,0.1212,1.0628,0.0143,0.1185
2025-07-14T19:38:08.431616,33.6272,0.2276,11.8038,1.2053,0.0242,0.1198,1.4471,-0.0017,0.1235,1.1111,0.0198,0.1218
2025-07-14T19:38:10.675776,32.6525,0.1633,11.8274,1.1089,0.0292,0.1232,1.4953,0.0055,0.1235,1.1111,0.0175,0.1202
2025-07-14T19:38:12.446995,32.6525,0.2870,11.9269,1.1089,0.0243,0.1191,1.5436,-0.0045,0.1248,1.0145,0.0206,0.1198
2025-07-14T19:38:14.384256,32.1651,-0.5190,11.8295,1.1089,0.0229,0.1203,1.4471,0.0024,0.1229,1.1111,0.0171,0.1203
