Timestamp,CH1_Vpp,CH1_Vavg,CH1_Vrms
2025-07-14T19:27:01.812276,41.4248,0.3426,11.8097
2025-07-14T19:27:02.312386,33.1398,0.3207,11.8426
2025-07-14T19:27:02.812575,32.6525,0.3957,11.8461
2025-07-14T19:27:03.312395,33.6272,0.2656,11.8229
2025-07-14T19:27:03.812387,35.5765,0.3987,11.8669
2025-07-14T19:27:04.312595,33.1398,0.1945,11.8720
2025-07-14T19:27:04.812396,36.0639,0.3504,11.8608
2025-07-14T19:27:05.312488,40.9374,0.2417,11.8424
2025-07-14T19:27:06.062959,33.1398,0.0078,11.8395
2025-07-14T19:27:06.622899,33.1398,0.3494,11.8418
2025-07-14T19:27:07.094840,32.6525,0.3923,11.8303
2025-07-14T19:27:07.514860,34.1145,0.3650,11.7223
2025-07-14T19:27:08.095277,33.1398,-0.5736,11.7991
2025-07-14T19:27:08.483069,33.1398,0.3411,11.8023
2025-07-14T19:27:08.873447,35.5765,0.3382,11.7602
2025-07-14T19:27:09.346614,39.9627,0.2685,11.7588
2025-07-14T19:27:09.812585,42.3995,0.3407,11.8228
2025-07-14T19:27:10.675894,33.1398,-0.0775,11.7771
2025-07-14T19:27:11.170012,33.1398,0.3358,11.8073
2025-07-14T19:27:11.572745,33.6272,0.2661,11.8173
2025-07-14T19:27:12.169613,36.0639,0.3689,11.8186
2025-07-14T19:27:12.746381,33.1398,0.2719,11.8320
2025-07-14T19:27:13.247530,33.1398,0.3757,11.8238
2025-07-14T19:27:13.721968,40.9374,0.2914,11.7935
2025-07-14T19:27:14.129120,40.9374,0.3309,11.7987
2025-07-14T19:27:14.683946,33.1398,0.3411,11.7900
2025-07-14T19:27:15.444159,33.1398,0.3543,11.7906
2025-07-14T19:27:15.929035,33.6272,0.3826,11.8082
2025-07-14T19:27:16.417231,33.1398,0.3592,11.8234
2025-07-14T19:27:16.826891,33.1398,0.3026,11.8138
2025-07-14T19:27:17.374419,33.6272,0.4157,11.8002
2025-07-14T19:27:17.831950,39.9627,0.3163,11.8007
2025-07-14T19:27:18.474850,40.4501,0.4089,11.7922
2025-07-14T19:27:18.927252,33.1398,-0.5005,11.7487
2025-07-14T19:27:19.373804,33.1398,0.2841,11.7787
2025-07-14T19:27:20.263537,33.1398,0.3913,11.7934
2025-07-14T19:27:20.665680,34.1145,0.2797,11.7998
2025-07-14T19:27:21.171664,33.1398,0.3489,11.8224
2025-07-14T19:27:21.590742,33.1398,0.2983,11.8097
2025-07-14T19:27:21.933663,34.1145,0.3933,11.8047
2025-07-14T19:27:22.467829,41.4248,0.3431,11.7734
2025-07-14T19:27:22.942841,41.9121,0.3100,11.8006
2025-07-14T19:27:23.283404,43.3742,0.4006,11.8014
2025-07-14T19:27:23.694861,33.6272,0.3017,11.7871
2025-07-14T19:27:24.199040,34.1145,0.3124,11.8393
2025-07-14T19:27:25.157756,34.6018,0.2963,11.8559
2025-07-14T19:27:25.523053,35.0892,0.3665,11.8347
2025-07-14T19:27:26.049366,33.6272,0.2627,11.8440
2025-07-14T19:27:26.568902,33.1398,0.3134,11.8248
2025-07-14T19:27:26.967959,41.4248,0.3879,11.8286
2025-07-14T19:27:27.474844,40.9374,0.3031,11.8181
2025-07-14T19:27:27.914322,42.3995,0.3402,11.8120
2025-07-14T19:27:28.376419,33.1398,0.3124,11.7810
2025-07-14T19:27:28.879874,34.6018,0.2749,11.8202
2025-07-14T19:27:29.927488,35.0892,0.3465,11.8366
2025-07-14T19:27:30.401684,33.6272,0.3879,11.8655
2025-07-14T19:27:30.778851,33.6272,0.3592,11.8238
2025-07-14T19:27:31.238651,37.5260,0.3753,11.8158
2025-07-14T19:27:31.631642,39.9627,0.3938,11.7928
2025-07-14T19:27:32.151622,42.3995,0.2939,11.8021
2025-07-14T19:27:32.664857,33.1398,0.3163,11.7972
2025-07-14T19:27:33.110737,33.1398,0.3061,11.7977
2025-07-14T19:27:33.534098,34.6018,0.3826,11.7763
2025-07-14T19:27:34.614843,35.0892,0.3309,11.8068
2025-07-14T19:27:34.963154,33.1398,0.3816,11.7742
2025-07-14T19:27:35.453158,33.6272,0.3450,11.7520
2025-07-14T19:27:35.948937,39.9627,0.2773,11.7175
2025-07-14T19:27:36.352448,40.9374,0.4069,11.7101
2025-07-14T19:27:36.827951,42.8868,0.2783,11.7138
2025-07-14T19:27:37.306367,33.1398,-0.2622,11.6974
2025-07-14T19:27:37.743483,33.1398,0.3085,11.7633
2025-07-14T19:27:38.201181,34.6018,0.2598,11.7313
2025-07-14T19:27:38.957312,36.0639,0.3982,11.7398
2025-07-14T19:27:39.433492,33.1398,0.2593,11.7625
2025-07-14T19:27:39.945311,36.5513,0.3962,11.7566
2025-07-14T19:27:40.321328,39.9627,0.1618,11.7480
2025-07-14T19:27:40.774077,40.4501,0.3236,11.7422
2025-07-14T19:27:41.243431,33.1398,-0.4752,11.7287
2025-07-14T19:27:41.601442,33.6272,-0.4459,11.7121
2025-07-14T19:27:42.076791,33.1398,0.1482,11.7159
2025-07-14T19:27:42.540321,33.6272,0.4298,11.7572
2025-07-14T19:27:42.959537,36.0639,0.2315,11.7608
2025-07-14T19:27:43.833020,33.1398,0.4079,11.7718
2025-07-14T19:27:44.322885,35.0892,0.2617,11.7554
2025-07-14T19:27:44.771284,35.0892,0.2617,11.7554
2025-07-14T19:27:45.099247,41.9121,0.4220,11.7745
2025-07-14T19:27:45.580354,42.8868,0.3114,11.7331
2025-07-14T19:27:46.027540,35.5765,0.2451,11.7483
2025-07-14T19:27:46.428918,33.1398,0.2754,11.7527
2025-07-14T19:27:46.888978,32.6525,0.3636,11.7390
2025-07-14T19:27:47.370785,33.1398,0.4142,11.7478
2025-07-14T19:27:47.876315,33.1398,0.4255,11.7958
2025-07-14T19:27:48.650158,34.6018,0.3333,11.7623
2025-07-14T19:27:49.023741,37.0386,0.4162,11.7728
2025-07-14T19:27:49.491034,39.9627,0.4430,11.7534
2025-07-14T19:27:49.934465,39.9627,0.2715,11.7466
2025-07-14T19:27:50.333526,33.1398,0.3304,11.7324
2025-07-14T19:27:50.833635,33.1398,0.4333,11.7558
2025-07-14T19:27:51.276817,33.6272,0.4269,11.7404
2025-07-14T19:27:51.702183,33.1398,0.3139,11.7725
2025-07-14T19:27:52.227966,34.6018,0.2641,11.7467
2025-07-14T19:27:52.668350,33.1398,0.4391,11.7437
2025-07-14T19:27:53.708335,39.9627,0.3777,11.7626
2025-07-14T19:27:54.160171,38.9880,0.4191,11.7608
2025-07-14T19:27:54.598965,41.9121,0.3012,11.7379
2025-07-14T19:27:54.985303,32.6525,0.0643,11.7253
2025-07-14T19:27:55.464693,33.1398,0.4484,11.7713
2025-07-14T19:27:55.999542,33.6272,0.3611,11.8246
2025-07-14T19:27:56.443333,33.6272,0.2524,11.8162
2025-07-14T19:27:56.879727,35.0892,0.3904,11.8161
2025-07-14T19:27:57.355791,32.6525,0.2183,11.7949
2025-07-14T19:27:58.026358,39.4753,0.4391,11.8089
2025-07-14T19:28:08.780401,33.1398,0.3938,11.8150
2025-07-14T19:28:09.259070,33.1398,0.3226,11.8165
2025-07-14T19:28:09.732404,34.6018,0.3777,11.8059
2025-07-14T19:28:10.257690,33.1398,0.3723,11.8403
2025-07-14T19:28:10.640803,36.0639,0.3592,11.7910
2025-07-14T19:28:11.525560,40.4501,0.3124,11.7271
2025-07-14T19:28:11.949001,42.3995,0.2549,11.7724
2025-07-14T19:28:12.415415,41.4248,0.3860,11.8185
2025-07-14T19:28:12.773025,33.1398,0.0892,11.7656
2025-07-14T19:28:13.202876,33.1398,0.3392,11.7778
2025-07-14T19:28:13.682385,33.1398,0.3465,11.7922
2025-07-14T19:28:14.152963,35.0892,0.3957,11.7958
2025-07-14T19:28:14.617175,33.1398,0.3236,11.8063
2025-07-14T19:28:15.051043,33.6272,0.3075,11.7986
2025-07-14T19:28:15.947423,41.9121,0.3675,11.7902
2025-07-14T19:28:16.398652,40.9374,0.2836,11.7923
2025-07-14T19:28:16.865098,43.3742,0.3392,11.7919
2025-07-14T19:28:17.311968,33.1398,-0.1160,11.7830
2025-07-14T19:28:17.752252,32.6525,0.2705,11.7860
2025-07-14T19:28:18.255065,34.6018,0.2651,11.7765
2025-07-14T19:28:18.802196,36.0639,0.2724,11.7874
2025-07-14T19:28:19.265137,33.6272,0.2817,11.8205
2025-07-14T19:28:19.799808,40.4501,0.3665,11.7797
