Timestamp,CH1_Vpp,CH1_Vavg,CH1_Vrms,CH2_Vpp,CH2_Vavg,CH2_Vrms,CH3_Vpp,CH3_Vavg,CH3_Vrms,CH4_Vpp,CH4_Vavg,CH4_Vrms
2025-07-14T19:33:42.155551,33.1398,-0.6755,11.6883,1.1089,0.0237,0.1193,1.5436,0.0017,0.1219,1.1111,0.0166,0.1206
2025-07-14T19:33:44.084157,39.4753,0.2305,11.8532,1.2053,0.0295,0.1213,1.4953,0.0036,0.1232,1.0628,0.0140,0.1196
2025-07-14T19:33:46.441334,35.0892,0.5366,12.1751,1.1089,0.0219,0.1202,1.4953,-0.0014,0.1225,1.1594,0.0119,0.1232
2025-07-14T19:33:48.266162,36.0639,0.4796,12.2209,1.1089,0.0276,0.1203,1.4953,0.0024,0.1232,1.1594,0.0143,0.1198
2025-07-14T19:33:49.913084,44.8362,0.3460,12.1824,1.1571,0.0260,0.1216,1.4953,0.0032,0.1239,1.1111,0.0139,0.1197
2025-07-14T19:33:52.297442,35.5765,0.5073,12.1925,1.1089,0.0216,0.1208,1.5436,-0.0045,0.1244,1.1111,0.0093,0.1174
2025-07-14T19:33:54.021759,36.0639,0.3260,12.1890,1.1571,0.0210,0.1188,1.4953,-0.0040,0.1244,1.0145,0.0140,0.1195
2025-07-14T19:33:55.994686,35.5765,0.4220,12.2027,1.1089,0.0272,0.1221,1.5918,0.0041,0.1239,1.1111,0.0151,0.1202
2025-07-14T19:33:57.798699,35.5765,0.4508,12.2196,1.1571,0.0244,0.1220,1.5918,0.0040,0.1222,1.1111,0.0120,0.1190
2025-07-14T19:33:59.517730,36.5513,0.5039,12.1949,1.1571,0.0256,0.1208,1.5436,0.0001,0.1237,0.8695,0.0133,0.1162
2025-07-14T19:34:01.770033,35.0892,0.5541,12.1837,1.1089,0.0256,0.1209,1.5918,-0.0020,0.1245,1.1111,0.0100,0.1171
2025-07-14T19:34:03.636690,38.5007,0.4381,12.1940,1.1571,0.0204,0.1191,1.5918,0.0010,0.1249,1.1111,0.0179,0.1219
2025-07-14T19:34:05.637146,38.9880,0.4805,12.1672,1.2053,0.0217,0.1194,1.3024,0.0023,0.1198,1.0145,0.0119,0.1188
2025-07-14T19:34:07.553895,35.5765,0.4966,12.1810,1.1571,0.0201,0.1208,1.4953,0.0021,0.1227,1.1594,0.0154,0.1206
2025-07-14T19:34:09.743296,35.5765,0.4956,12.1954,1.1089,0.0263,0.1203,1.4953,-0.0005,0.1238,1.0628,0.0167,0.1205
2025-07-14T19:34:11.587656,44.8362,0.3952,12.1889,1.0607,0.0245,0.1167,1.4953,0.0000,0.1253,1.1111,0.0173,0.1202
2025-07-14T19:34:13.185674,35.0892,0.4883,12.1943,1.1571,0.0259,0.1218,1.5436,-0.0030,0.1225,1.1594,0.0152,0.1201
2025-07-14T19:34:15.542494,35.5765,0.4722,12.2119,1.1571,0.0297,0.1203,1.4953,-0.0017,0.1237,1.0145,0.0179,0.1199
2025-07-14T19:34:17.173556,44.3488,0.3441,12.2035,1.0607,0.0270,0.1214,1.5436,0.0027,0.1226,1.1594,0.0213,0.1238
2025-07-14T19:34:19.534067,37.0386,0.4981,12.1958,1.1089,0.0277,0.1217,1.5436,-0.0030,0.1223,1.0628,0.0177,0.1203
2025-07-14T19:34:21.363851,37.5260,0.4688,12.2433,1.1089,0.0230,0.1194,1.4953,-0.0002,0.1247,1.1111,0.0116,0.1183
2025-07-14T19:34:23.245669,35.0892,0.3606,12.2334,1.2053,0.0231,0.1214,1.5918,0.0041,0.1239,1.0628,0.0125,0.1175
2025-07-14T19:34:25.157337,38.9880,0.3645,12.2167,1.0607,0.0199,0.1193,1.4471,0.0037,0.1221,1.1111,0.0130,0.1188
2025-07-14T19:34:26.911973,38.5007,0.4796,12.1978,1.1089,0.0260,0.1205,1.4953,-0.0022,0.1245,1.0628,0.0106,0.1188
2025-07-14T19:34:29.076634,35.0892,0.5083,12.2397,1.2053,0.0228,0.1209,1.5436,-0.0027,0.1232,1.1111,0.0133,0.1223
2025-07-14T19:34:30.815182,35.0892,0.4396,12.2441,1.1089,0.0298,0.1210,1.4953,-0.0053,0.1238,1.0145,0.0155,0.1185
2025-07-14T19:34:33.039930,35.0892,0.1516,12.2013,1.1571,0.0244,0.1218,1.4471,-0.0049,0.1224,1.0628,0.0143,0.1214
2025-07-14T19:34:34.637551,36.5513,0.4094,12.2235,1.2053,0.0287,0.1247,1.5436,0.0014,0.1234,1.0628,0.0191,0.1208
2025-07-14T19:34:36.297017,36.0639,0.4459,12.1983,1.1089,0.0212,0.1191,1.3988,-0.0005,0.1206,1.0145,0.0157,0.1199
2025-07-14T19:34:38.547513,35.5765,0.4367,12.2029,1.1089,0.0250,0.1219,1.4471,-0.0010,0.1219,1.0628,0.0105,0.1167
2025-07-14T19:34:40.377575,35.5765,0.3694,12.2378,1.1089,0.0271,0.1199,1.4471,0.0014,0.1230,1.0145,0.0158,0.1194
2025-07-14T19:34:42.689661,35.5765,0.3007,12.1393,1.0607,0.0199,0.1187,1.4953,-0.0024,0.1230,1.0628,0.0126,0.1179
