Timestamp,CH1_Vpp,CH1_Vavg,CH1_Vrms
2025-07-14T19:25:54.512888,33.1398,0.4347,11.8096
2025-07-14T19:25:55.513034,33.1398,0.1784,11.8113
2025-07-14T19:25:56.512992,36.5513,0.3874,11.8057
2025-07-14T19:25:57.513244,36.0639,0.3655,11.8386
2025-07-14T19:25:58.513064,43.3742,0.4391,11.8355
2025-07-14T19:25:59.513383,33.1398,0.2763,11.8287
2025-07-14T19:26:00.513571,35.5765,0.4337,11.8422
2025-07-14T19:26:01.513237,33.6272,0.3777,11.8245
2025-07-14T19:26:02.512978,44.3488,0.2310,11.8237
2025-07-14T19:26:03.513890,33.1398,0.4503,11.7213
2025-07-14T19:26:04.513008,33.1398,0.3319,11.7909
2025-07-14T19:26:05.513248,33.1398,0.4308,11.8063
2025-07-14T19:26:06.513008,39.4753,0.3075,11.7908
2025-07-14T19:26:07.513214,33.1398,0.1179,11.7580
2025-07-14T19:26:08.513217,33.1398,0.2758,11.7921
2025-07-14T19:26:09.513003,33.1398,0.3679,11.7845
2025-07-14T19:26:10.513192,38.5007,0.3251,11.7759
2025-07-14T19:26:11.513303,33.1398,-0.4961,11.7445
2025-07-14T19:26:12.513001,33.1398,0.3806,11.7893
2025-07-14T19:26:13.513017,35.0892,0.2637,11.7929
2025-07-14T19:26:14.513012,33.6272,0.2934,11.7736
2025-07-14T19:26:15.513026,41.4248,0.3592,11.7724
2025-07-14T19:26:16.513240,33.1398,0.3139,11.7447
2025-07-14T19:26:17.513038,34.1145,0.2934,11.7835
2025-07-14T19:26:18.513239,33.1398,0.3182,11.7754
2025-07-14T19:26:19.513011,41.4248,0.3241,11.7763
2025-07-14T19:26:20.512995,33.1398,0.2671,11.8091
2025-07-14T19:26:21.513248,33.1398,0.3962,11.8264
2025-07-14T19:26:22.513246,33.1398,0.3446,11.8365
2025-07-14T19:26:23.513012,38.9880,0.3338,11.8035
2025-07-14T19:26:24.513249,33.1398,0.1287,11.7738
2025-07-14T19:26:25.512999,33.1398,0.2807,11.7695
2025-07-14T19:26:26.513317,35.0892,0.4050,11.7871
2025-07-14T19:26:27.513001,37.5260,0.2900,11.7651
2025-07-14T19:26:28.512963,40.9374,0.3382,11.7673
2025-07-14T19:26:29.513255,33.6272,0.3314,11.7657
2025-07-14T19:26:30.512965,33.1398,0.4225,11.7870
2025-07-14T19:26:31.513210,36.0639,0.3426,11.7826
2025-07-14T19:26:32.513251,42.8868,0.3645,11.7656
