# Device: RIGOL TECHNOLOGIES,MSO5074,MS5A233905324,00.01.03.03.00
# Channel: CHAN1
# Timebase: 5.000000E-3 s/div
# Scale: 1E1 V/div
# Offset: 0 V
# Trigger: TD
# Timestamp: 2025-07-14T19-15-09
Time (s),Voltage (V)
-0.025,-12.671100000000001
-0.02495,-11.20905
-0.024900000000000002,-13.15845
-0.02485,-11.20905
-0.024800000000000003,-13.15845
-0.02475,-11.20905
-0.0247,-11.20905
-0.024650000000000002,-12.671100000000001
-0.0246,-13.15845
-0.024550000000000002,-10.7217
-0.0245,-10.7217
-0.024450000000000003,-12.671100000000001
-0.0244,-12.671100000000001
-0.02435,-10.234350000000001
-0.024300000000000002,-10.7217
-0.02425,-12.671100000000001
-0.024200000000000003,-12.671100000000001
-0.02415,-10.234350000000001
-0.0241,-9.747
-0.024050000000000002,-12.18375
-0.024,-12.18375
-0.023950000000000003,-10.234350000000001
-0.0239,-12.18375
-0.023850000000000003,-9.747
-0.0238,-11.6964
-0.02375,-9.747
-0.023700000000000002,-9.747
-0.02365,-12.18375
-0.023600000000000003,-11.6964
-0.02355,-9.25965
-0.0235,-11.20905
-0.023450000000000002,-9.25965
-0.0234,-11.20905
-0.023350000000000003,-8.7723
-0.0233,-10.7217
-0.02325,-8.7723
-0.023200000000000002,-10.7217
-0.02315,-8.28495
-0.023100000000000002,-10.234350000000001
-0.02305,-8.28495
-0.023,-10.234350000000001
-0.02295,-7.7976
-0.0229,-8.28495
-0.022850000000000002,-10.234350000000001
-0.0228,-10.234350000000001
-0.02275,-7.7976
-0.0227,-7.7976
-0.02265,-9.747
-0.022600000000000002,-9.747
-0.02255,-7.7976
-0.022500000000000003,-9.25965
-0.02245,-7.31025
-0.0224,-7.31025
-0.022350000000000002,-9.747
-0.0223,-9.25965
-0.022250000000000002,-6.8229
-0.0222,-8.7723
-0.022150000000000003,-6.8229
-0.0221,-8.7723
-0.02205,-6.3355500000000005
-0.022000000000000002,-8.7723
-0.02195,-6.3355500000000005
-0.021900000000000003,-6.3355500000000005
-0.02185,-8.7723
-0.0218,-6.8229
-0.021750000000000002,-8.7723
-0.0217,-6.8229
-0.021650000000000003,-8.7723
-0.0216,-8.7723
-0.02155,-6.8229
-0.021500000000000002,-6.8229
-0.02145,-8.7723
-0.021400000000000002,-8.7723
-0.02135,-6.3355500000000005
-0.0213,-8.28495
-0.02125,-6.3355500000000005
-0.0212,-8.28495
-0.021150000000000002,-5.8482
-0.0211,-5.8482
-0.02105,-7.7976
-0.021,-7.7976
-0.020950000000000003,-5.36085
-0.020900000000000002,-7.31025
-0.02085,-5.36085
-0.0208,-5.36085
-0.02075,-7.31025
-0.020700000000000003,-5.36085
-0.02065,-7.31025
-0.0206,-5.8482
-0.020550000000000002,-7.7976
-0.0205,-5.8482
-0.020450000000000003,-7.7976
-0.0204,-7.7976
-0.02035,-5.8482
-0.020300000000000002,-5.8482
-0.02025,-7.7976
-0.020200000000000003,-7.7976
-0.02015,-5.36085
-0.0201,-7.31025
-0.020050000000000002,-5.36085
-0.02,0.0
-0.019950000000000002,-8.28495
-0.0199,-6.8229
-0.01985,-4.38615
-0.0198,-6.8229
-0.01975,-4.38615
-0.019700000000000002,-4.38615
-0.01965,-6.8229
