# Device: RIGOL TECHNOLOGIES,MSO5074,MS5A233905324,00.01.03.03.00
# Channel: CHAN1
# Timebase: 5.000000E-3 s/div
# Scale: 1E1 V/div
# Offset: 0 V
# Trigger: TD
# Timestamp: 2025-07-14T17-57-10
Time (s),Voltage (V)
-0.025,-12.18375
-0.02495,-10.7217
-0.024900000000000002,-12.18375
-0.02485,-10.234350000000001
-0.024800000000000003,-10.234350000000001
-0.02475,-12.18375
-0.0247,-11.6964
-0.024650000000000002,-9.747
-0.0246,-9.747
-0.024550000000000002,-11.6964
-0.0245,-11.20905
-0.024450000000000003,-9.25965
-0.0244,-11.20905
-0.02435,-9.25965
-0.024300000000000002,-11.20905
-0.02425,-8.7723
-0.024200000000000003,-11.20905
-0.02415,-9.25965
-0.0241,-10.7217
-0.024050000000000002,-8.7723
-0.024,-8.7723
-0.023950000000000003,-11.20905
-0.0239,-10.7217
-0.023850000000000003,-8.7723
-0.0238,-10.7217
-0.02375,-8.28495
-0.023700000000000002,-10.7217
-0.02365,-8.28495
-0.023600000000000003,-10.234350000000001
-0.02355,-8.28495
-0.0235,-1.46205
-0.023450000000000002,-11.20905
-0.0234,-10.234350000000001
-0.023350000000000003,-7.7976
-0.0233,-10.234350000000001
-0.02325,-7.7976
-0.023200000000000002,-7.7976
-0.02315,-10.234350000000001
-0.023100000000000002,-9.747
-0.02305,-7.7976
-0.023,-7.7976
-0.02295,-10.234350000000001
-0.0229,-9.747
-0.022850000000000002,-7.31025
-0.0228,-7.31025
-0.02275,-9.747
-0.0227,-9.25965
-0.02265,-6.8229
-0.022600000000000002,-6.8229
-0.02255,-8.7723
-0.022500000000000003,-8.7723
-0.02245,-6.3355500000000005
-0.0224,-8.28495
-0.022350000000000002,-6.3355500000000005
-0.0223,-6.3355500000000005
-0.022250000000000002,-8.28495
-0.0222,-6.3355500000000005
-0.022150000000000003,-8.7723
-0.0221,-6.3355500000000005
-0.02205,-8.28495
-0.022000000000000002,-6.3355500000000005
-0.02195,-8.28495
-0.021900000000000003,-8.28495
-0.02185,-6.8229
-0.0218,-6.3355500000000005
-0.021750000000000002,-8.7723
-0.0217,-8.28495
-0.021650000000000003,-6.3355500000000005
-0.0216,-7.7976
-0.02155,-5.8482
-0.021500000000000002,-5.8482
-0.02145,-7.7976
-0.021400000000000002,-7.31025
-0.02135,-5.36085
-0.0213,-7.31025
-0.02125,-4.8735
-0.0212,-4.8735
-0.021150000000000002,-7.31025
-0.0211,-6.8229
-0.02105,-4.38615
-0.021,-6.8229
-0.020950000000000003,-4.38615
-0.020900000000000002,-6.3355500000000005
-0.02085,-4.38615
-0.0208,-4.38615
-0.02075,-6.3355500000000005
-0.020700000000000003,-4.38615
-0.02065,-6.3355500000000005
-0.0206,-6.3355500000000005
-0.020550000000000002,-3.8988
-0.0205,-5.8482
-0.020450000000000003,-3.41145
-0.0204,-3.41145
-0.02035,-5.8482
-0.020300000000000002,-5.36085
-0.02025,-2.43675
-0.020200000000000003,-4.38615
-0.02015,-1.46205
-0.0201,-2.9241
-0.020050000000000002,0.0
-0.02,-0.9747
-0.019950000000000002,1.9494
-0.0199,0.48735
-0.01985,4.8735
-0.0198,3.41145
-0.01975,7.31025
-0.019700000000000002,6.3355500000000005
-0.01965,11.20905
-0.0196,9.747
-0.01955,14.6205
-0.0195,13.6458
-0.019450000000000002,16.08255
-0.0194,16.08255
-0.01935,14.13315
-0.0193,13.6458
-0.019250000000000003,16.08255
-0.019200000000000002,16.5699
-0.01915,14.13315
