Timestamp,CH1_Vpp,CH1_Vavg,CH1_Vrms
2025-07-14T19:02:59.182165,38.9880,0.5678,11.7736
2025-07-14T19:03:00.182504,47.2730,0.5868,11.7611
2025-07-14T19:03:01.182277,37.5260,-0.3514,11.7602
2025-07-14T19:03:02.182489,37.5260,0.7154,11.7733
2025-07-14T19:03:03.182554,37.5260,0.6511,11.7323
2025-07-14T19:03:04.182267,38.5007,0.6145,11.7848
2025-07-14T19:03:05.182287,37.5260,0.5809,11.7403
2025-07-14T19:03:06.182266,46.7856,0.7505,12.5016
2025-07-14T19:03:07.182269,38.0133,0.6725,11.8320
2025-07-14T19:03:08.182491,38.0133,0.6350,11.8431
2025-07-14T19:03:09.182526,38.0133,0.5512,11.8362
2025-07-14T19:03:10.182257,38.0133,0.4986,11.8591
2025-07-14T19:03:11.182481,38.0133,0.6194,11.8403
2025-07-14T19:03:12.182491,43.8615,0.5176,11.8263
2025-07-14T19:03:13.182514,36.0639,-0.6881,11.4329
2025-07-14T19:03:14.182514,35.5765,0.6092,11.4199
2025-07-14T19:03:15.182273,36.0639,0.5259,11.4572
2025-07-14T19:03:16.182560,,,
2025-07-14T19:03:22.874684,36.0639,0.4883,11.4639
2025-07-14T19:03:23.615948,36.5513,0.4771,11.4759
2025-07-14T19:03:24.086732,38.0133,0.6150,11.8319
2025-07-14T19:03:24.482548,37.5260,0.5985,11.8561
2025-07-14T19:03:24.921086,41.9121,0.5083,11.8354
2025-07-14T19:03:25.405383,46.2983,0.6370,11.8317
2025-07-14T19:03:25.786466,46.2983,0.7344,11.8586
2025-07-14T19:03:26.289661,37.5260,-0.5707,11.7998
2025-07-14T19:03:26.784103,37.5260,0.6340,11.8121
2025-07-14T19:03:27.205259,,,
2025-07-14T19:03:33.883821,38.0133,0.6063,11.8829
